categoria,archivo,ruta,filas_muestra,columnas_muestra,error
Ingresos Educación,ingresos_educacion(2015).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2015).xlsx,10,167,
Ingresos Educación,ingresos_educacion(2016).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2016).xlsx,10,167,
Ingresos Educación,ingresos_educacion(2017).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2017).xlsx,10,167,
Ingresos Educación,ingresos_educacion(2018).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2018).xlsx,10,167,
Ingresos Educación,ingresos_educacion(2019).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2019).xlsx,10,178,
Ingresos Educación,ingresos_educacion(2020).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2020).xlsx,10,178,
Ingresos Educación,ingresos_educacion(2021).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\ingresos_educacion(2021).xlsx,10,178,
Ingresos Educación,INGRESOS_EDUCACION_2024.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\INGRESOS_EDUCACION_2024.xlsx,10,188,
Ingresos Educación,INGRESOS_EDUCACION_2025.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\INGRESOS_EDUCACION_2025.xlsx,10,188,
Ingresos Educación,Ingresos_Percibidos_Educacion_4trim_2022.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\Ingresos_Percibidos_Educacion_4trim_2022.xlsx,10,178,
Ingresos Educación,Ingresos_Percibidos_Educacion_4trim_2023.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Educación\Ingresos_Percibidos_Educacion_4trim_2023.xlsx,10,185,
Ingresos Municipales,ingresos_municipales(2015).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2015).xlsx,10,167,
Ingresos Municipales,ingresos_municipales(2016).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2016).xlsx,10,167,
Ingresos Municipales,ingresos_municipales(2017).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2017).xlsx,10,167,
Ingresos Municipales,ingresos_municipales(2018).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2018).xlsx,10,167,
Ingresos Municipales,ingresos_municipales(2019).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2019).xlsx,10,178,
Ingresos Municipales,ingresos_municipales(2020).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2020).xlsx,10,178,
Ingresos Municipales,ingresos_municipales(2021).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\ingresos_municipales(2021).xlsx,10,178,
Ingresos Municipales,INGRESOS_MUNICIPALES_2024.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\INGRESOS_MUNICIPALES_2024.xlsx,10,188,
Ingresos Municipales,INGRESOS_MUNICIPALES_2025.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\INGRESOS_MUNICIPALES_2025.xlsx,10,188,
Ingresos Municipales,Ingresos_Percibidos_Municipal_4trim_2022.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\Ingresos_Percibidos_Municipal_4trim_2022.xlsx,10,178,
Ingresos Municipales,Ingresos_Percibidos_Municipal_4trim_2023.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Municipales\Ingresos_Percibidos_Municipal_4trim_2023.xlsx,10,185,
Ingresos Salud,Ingresos_Percibidos_Salud_4trim_2022.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\Ingresos_Percibidos_Salud_4trim_2022.xlsx,10,178,
Ingresos Salud,Ingresos_Percibidos_Salud_4trim_2023.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\Ingresos_Percibidos_Salud_4trim_2023.xlsx,10,185,
Ingresos Salud,ingresos_salud(2015).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2015).xlsx,10,167,
Ingresos Salud,ingresos_salud(2016).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2016).xlsx,10,167,
Ingresos Salud,ingresos_salud(2017).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2017).xlsx,10,167,
Ingresos Salud,ingresos_salud(2018).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2018).xlsx,10,167,
Ingresos Salud,ingresos_salud(2019).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2019).xlsx,10,178,
Ingresos Salud,ingresos_salud(2020).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2020).xlsx,10,178,
Ingresos Salud,ingresos_salud(2021).xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\ingresos_salud(2021).xlsx,10,178,
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\INGRESOS_SALUD_2024.xlsx,10,188,
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,C:\Users\el_ap\OneDrive\Desktop\Portafolio Power BI\Índice Desarrollo Comunal\Datos\Datos municipales (SINIM)\Ingresos Salud\INGRESOS_SALUD_2025.xlsx,10,188,
