categoria,archivo,anio,fila_excel,cantidad_valores_no_nulos,primeros_valores
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,1,0,
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,2,0,
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,3,1,AÑO 2015
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,4,162,INFORME DE INGRESOS (EDUCACION) | EEE.03.00.000.000.000 | EEE.03.01.000.000.000 | EEE.03.01.001.000.000 | EEE.03.01.001.001.000 | EEE.03.01.001.002.000 | EEE.03.01.002.000.000 | EEE.03.01.002.001.000 | EEE.03.01.002.002.000 | EEE.03.01.002.003.000 | EEE.03.01.003.000.000 | EEE.03.01.003.001.000
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,6,1,Región de TARAPACA
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,7,166,1403 | COLCHANE | EDUCACION | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Educación,ingresos_educacion(2015).xlsx,2015,8,166,1107 | ALTO HOSPICIO | EDUCACION | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,1,0,
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,2,0,
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,3,1,AÑO 2016
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,4,162,INFORME DE INGRESOS (EDUCACION) | EEE.03.00.000.000.000 | EEE.03.01.000.000.000 | EEE.03.01.001.000.000 | EEE.03.01.001.001.000 | EEE.03.01.001.002.000 | EEE.03.01.002.000.000 | EEE.03.01.002.001.000 | EEE.03.01.002.002.000 | EEE.03.01.002.003.000 | EEE.03.01.003.000.000 | EEE.03.01.003.001.000
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,6,1,Región de TARAPACA
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,7,166,1403 | COLCHANE | EDUCACION | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Educación,ingresos_educacion(2016).xlsx,2016,8,166,1107 | ALTO HOSPICIO | EDUCACION | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Educación,ingresos_educacion(2017).xlsx,2017,1,0,
Ingresos Educación,ingresos_educacion(2017).xlsx,2017,2,0,
